origin,destination,total_time_in_train,number_of_trains,total_distance_m,cycling_distance_m,total_cycling_time,total_walking_time,calories_burnt_walking,calories_burnt_cycling,walking_time_h,cycling_time_h
Acton Town tube station,Barons Court tube station,15.55,1,5337,5948,21.216666666666665,70.80952380952381,289.1388888888889,173.26944444444445,1.1801587301587302,0.3536111111111111
Acton Town tube station,Chiswick Park tube station,11.129999999999999,1,1436,1393,3.6166666666666667,16.583333333333336,67.71527777777779,29.53611111111111,0.2763888888888889,0.06027777777777778
Acton Town tube station,Ealing Broadway tube station,13.8,1,2693,2448,10.5,29.142857142857146,119.00000000000001,85.75,0.48571428571428577,0.175
Acton Town tube station,Ealing Common tube station,9.45,1,1099,1313,4.666666666666667,15.630952380952381,63.82638888888889,38.111111111111114,0.26051587301587303,0.07777777777777778
Acton Town tube station,East Acton tube station,36.620000000000005,2,7259,3276,11.683333333333334,39.0,159.25,95.41388888888889,0.65,0.1947222222222222
Acton Town tube station,Goldhawk Road tube station,24.45,2,5707,4460,14.616666666666667,53.095238095238095,216.80555555555554,119.36944444444444,0.8849206349206349,0.2436111111111111
Acton Town tube station,Gunnersbury tube station,22.33,1,2251,2347,8.883333333333333,27.940476190476193,114.0902777777778,72.54722222222222,0.46567460317460324,0.14805555555555555
Acton Town tube station,Hammersmith tube station,14.63,1,4765,4751,16.816666666666666,56.55952380952382,230.9513888888889,137.3361111111111,0.9426587301587303,0.2802777777777778
Acton Town tube station,Hanger Lane tube station,25.52,1,3976,3763,14.916666666666666,44.79761904761905,182.92361111111111,121.81944444444443,0.7466269841269841,0.2486111111111111
Acton Town tube station,Harlesden tube station,40.57,2,6494,5703,21.633333333333333,67.89285714285715,277.22916666666674,176.67222222222222,1.1315476190476192,0.3605555555555556
Acton Town tube station,Kensal Green tube station,44.28,1,7881,6441,25.3,76.67857142857143,313.1041666666667,206.61666666666667,1.2779761904761906,0.4216666666666667
Acton Town tube station,Kew Gardens tube station,25.73,1,3935,3987,13.7,47.464285714285715,193.8125,111.88333333333334,0.7910714285714285,0.22833333333333333
Acton Town tube station,Latimer Road tube station,30.0,2,7313,5974,19.566666666666666,71.11904761904763,290.4027777777778,159.79444444444445,1.1853174603174605,0.32611111111111113
Acton Town tube station,North Acton tube station,34.68,2,6045,3222,12.9,38.35714285714286,156.62500000000003,105.35,0.6392857142857143,0.215
Acton Town tube station,North Ealing tube station,11.45,1,1970,2407,9.816666666666666,28.65476190476191,117.00694444444446,80.16944444444444,0.47757936507936516,0.1636111111111111
Acton Town tube station,Northfields tube station,15.47,1,2739,2788,9.55,33.19047619047619,135.5277777777778,77.99166666666667,0.5531746031746032,0.15916666666666668
Acton Town tube station,Park Royal tube station,14.95,1,3171,3881,14.933333333333334,46.202380952380956,188.65972222222223,121.95555555555555,0.7700396825396826,0.24888888888888888
Acton Town tube station,Ravenscourt Park tube station,17.3,1,3802,3845,12.35,45.773809523809526,186.90972222222223,100.85833333333333,0.7628968253968255,0.20583333333333334
Acton Town tube station,Shepherd's Bush tube station,41.9,2,10323,4805,16.416666666666668,57.202380952380956,233.5763888888889,134.06944444444446,0.9533730158730159,0.27361111111111114
